""	"Species"	"Logger.MiniDOT"	"Family"	"N"	"Proportion"	"sd"	"se"	"ci"
"1"	"Agaricia lamarcki"	"1"	"Family_XII"	3	0.0183356177170702	0.0216122602536066	0.012477844275216	0.0536878307321469
"2"	"Agaricia lamarcki"	"1"	"JTB215"	3	0	0	0	0
"3"	"Agaricia lamarcki"	"1"	"Marinobacteraceae"	3	0.00388102700156734	0.00151160597344863	0.00087272611567921	0.0037550374039508
"4"	"Agaricia lamarcki"	"1"	"Pseudomonadaceae"	3	0.00290921021606395	0.00109273716006608	0.000630892093517657	0.0027145095883511
"5"	"Agaricia lamarcki"	"1"	"Halomonadaceae"	3	0.0115538837745071	0.0117840470064488	0.00680352271131644	0.0292731955657582
"6"	"Agaricia lamarcki"	"1"	"Acholeplasmataceae"	3	0.000355347085265533	0.000615479206001413	0.000355347085265533	0.00152893510642626
"7"	"Agaricia lamarcki"	"1"	"Shewanellaceae"	3	0.0284325014133638	0.0161508955002534	0.0093247238647248	0.0401210485907181
"8"	"Agaricia lamarcki"	"1"	"Nitrincolaceae"	3	0.0395086951182777	0.00328639354940008	0.00189740020040919	0.00816385415171776
"9"	"Agaricia lamarcki"	"1"	"Rhodospirillales"	3	0.00253725388195347	0.00212188297657759	0.00122506970771596	0.00527104952203743
"10"	"Agaricia lamarcki"	"1"	"Arcobacteraceae"	3	0.0516259226561604	0.0268880682220885	0.0155238334260118	0.0667936642666058
"11"	"Agaricia lamarcki"	"1"	"Marinifilaceae"	3	0.00104466131580317	0.000336177917457001	0.000194092411139407	0.000835112242612626
"12"	"Agaricia lamarcki"	"1"	"Clostridiaceae_1"	3	0.00306407120489666	0.00445462919900175	0.00257188136718363	0.0110659123851044
"13"	"Agaricia lamarcki"	"1"	"Izimaplasmatales"	3	1.36282486337681e-05	2.36048190518674e-05	1.36282486337681e-05	5.86376211857866e-05
"14"	"Agaricia lamarcki"	"1"	"Marinilabiliaceae"	3	0.00104533351010041	0.000353231454411087	0.000203938275290484	0.000877475576878999
"15"	"Agaricia lamarcki"	"1"	"Prolixibacteraceae"	3	0.0012635899079727	0.00107033580691251	0.000617958666244231	0.00265886154218808
"16"	"Agaricia lamarcki"	"1"	"Mollicutes_RF39"	3	0	0	0	0
"17"	"Agaricia lamarcki"	"1"	"Bacteroidales"	3	0.000722675662949216	0.00116431504559036	0.000672217604993128	0.00289231891310933
"18"	"Agaricia lamarcki"	"1"	"Desulfovibrionaceae"	3	0.00600189359510738	0.00570644016192593	0.00329461476360243	0.0141755832060869
"19"	"Agaricia lamarcki"	"1"	"MSBL8"	3	0	0	0	0
"20"	"Agaricia lamarcki"	"1"	"Francisellaceae"	3	0.0013991815314605	0.00156190068572646	0.000901763781351633	0.0038799763954218
"21"	"Agaricia lamarcki"	"1"	"Family_XIII"	3	0	0	0	0
"22"	"Agaricia lamarcki"	"1"	"Spirochaetaceae"	3	0.00124486175029263	0.00130489090838719	0.000753379117220439	0.00324152871524476
"23"	"Agaricia lamarcki"	"1"	"Clostridiaceae"	3	0.000174032088713631	0.000173760808370726	0.000100320849487446	0.000431645776897944
"24"	"Agaricia lamarcki"	"1"	"Clostridiales"	3	0.00427928637941384	0.0055076314118521	0.00317983247823005	0.0136817148926025
"25"	"Agaricia lamarcki"	"1"	"Desulfobacteraceae"	3	0.00962764861796372	0.00442875218913395	0.00255694126857063	0.0110016303290245
"26"	"Agaricia lamarcki"	"1"	"Clostridiaceae_4"	3	9.53977404363765e-05	0.000165233733363072	9.53977404363765e-05	0.000410463348300506
"27"	"Agaricia lamarcki"	"1"	"Lachnospiraceae"	3	0.000260653966180617	0.00022643890949797	0.000130734565353658	0.000562505434491528
"28"	"Agaricia lamarcki"	"1"	"Firmicutes"	3	0	0	0	0
"29"	"Agaricia lamarcki"	"1"	"Midichloriaceae"	3	0.0163564613077727	0.0195969776638433	0.011314320329523	0.048681591251082
"30"	"Agaricia lamarcki"	"1"	"Peptostreptococcaceae"	3	0.00389739862682473	0.00521136509327385	0.00300878303944708	0.0129457485579008
"31"	"Agaricia lamarcki"	"1"	"Bacteroidetes_BD2-2"	3	0.000622473740316562	0.000192829127657463	0.000111329948760637	0.000479014107937822
"32"	"Agaricia lamarcki"	"1"	"Fusobacteriaceae"	3	0.0040068621710853	0.00406639004004677	0.00234773138425102	0.0101014728491661
"33"	"Agaricia lamarcki"	"1"	"Izimaplasmataceae"	3	0	0	0	0
"34"	"Agaricia lamarcki"	"1"	"Desulfobulbaceae"	3	0.00863194867669019	0.00118188591531645	0.000682362151359378	0.00293596737322414
"35"	"Agaricia lamarcki"	"1"	"OPB56"	3	3.40706215844202e-05	5.90120476296686e-05	3.40706215844202e-05	0.000146594052964466
"36"	"Agaricia lamarcki"	"1"	"Defluviitaleaceae"	3	0.000143096610654565	0.000247850600044608	0.000143096610654565	0.000615695022450759
