""	"Treatment"	"Family"	"Species"	"N"	"Proportion"	"sd"	"se"	"ci"
"1"	"Control plots"	"Family_XII"	"Agaricia lamarcki"	9	0.00419105526481833	0.00621101051401071	0.00207033683800357	0.00477420530970175
"2"	"Control plots"	"Family_XII"	"Siderastrea siderea"	10	0.00276909902920982	0.00247097288759871	0.000781390236133514	0.00176762751961001
"3"	"Control plots"	"Marinifilaceae"	"Agaricia lamarcki"	9	0.00117810283402672	0.00120830436887445	0.00040276812295815	0.000928784957069914
"4"	"Control plots"	"Marinifilaceae"	"Siderastrea siderea"	10	0.00284057866003076	0.00477581473171222	0.00151024522351966	0.00341641204996677
"5"	"Control plots"	"Parvibaculaceae"	"Agaricia lamarcki"	9	1.67856771174292e-05	5.03570313522877e-05	1.67856771174292e-05	3.87078408449938e-05
"6"	"Control plots"	"Parvibaculaceae"	"Siderastrea siderea"	10	7.09655747039636e-05	0.000159237362804863	5.03552755061946e-05	0.000113911547171015
"7"	"Control plots"	"Pseudomonadaceae"	"Agaricia lamarcki"	9	1.37522261416067e-05	4.125667842482e-05	1.37522261416067e-05	3.17126903508078e-05
"8"	"Control plots"	"Pseudomonadaceae"	"Siderastrea siderea"	10	0.000221855514357797	0.00027130737409543	8.57949248140924e-05	0.000194081603699933
"9"	"Control plots"	"Marinobacteraceae"	"Agaricia lamarcki"	9	0	0	0	0
"10"	"Control plots"	"Marinobacteraceae"	"Siderastrea siderea"	10	0.000145615783837621	0.000392877957460763	0.000124238918805075	0.000281047960073206
"11"	"Control plots"	"Nitrincolaceae"	"Agaricia lamarcki"	9	0.0196659881918681	0.0399543855344713	0.0133181285114904	0.0307116594206774
"12"	"Control plots"	"Nitrincolaceae"	"Siderastrea siderea"	10	0.0117174901534858	0.0163969528260075	0.00518517176165184	0.0117296734409597
"13"	"Control plots"	"Francisellaceae"	"Agaricia lamarcki"	9	0.0013308917478564	0.00136305782077124	0.000454352606923747	0.00104773899040695
"14"	"Control plots"	"Francisellaceae"	"Siderastrea siderea"	10	0.00768778348783752	0.0087089210598717	0.00275400265118022	0.00622998682373258
"15"	"Control plots"	"Shewanellaceae"	"Agaricia lamarcki"	9	0.00291503334915463	0.00460708104747099	0.00153569368249033	0.00354131598222961
"16"	"Control plots"	"Shewanellaceae"	"Siderastrea siderea"	10	0.0022571322679713	0.00211983641499983	0.000670351133836539	0.00151643961899822
"17"	"Control plots"	"Halomonadaceae"	"Agaricia lamarcki"	9	0.00125234026645253	0.00156637624604167	0.000522125415347224	0.00120402336688589
"18"	"Control plots"	"Halomonadaceae"	"Siderastrea siderea"	10	0.00131573096915326	0.00161610970334423	0.000511058761126681	0.0011560952370935
"19"	"Control plots"	"Midichloriaceae"	"Agaricia lamarcki"	9	0.0135078890543534	0.00951735055268785	0.00317245018422928	0.00731568324356194
"20"	"Control plots"	"Midichloriaceae"	"Siderastrea siderea"	10	0.039016782342043	0.031133866212339	0.00984539295979507	0.0222718262045634
"21"	"Control plots"	"Desulfovibrionaceae"	"Agaricia lamarcki"	9	0.00483158623954644	0.00533841706687682	0.00177947235562561	0.00410347061055415
"22"	"Control plots"	"Desulfovibrionaceae"	"Siderastrea siderea"	10	0.00607941585483236	0.00661476976810775	0.00209177386648443	0.00473192123502185
"23"	"Control plots"	"Cellvibrionales"	"Agaricia lamarcki"	9	0.000429634418906516	0.000591794172064459	0.000197264724021486	0.000454893269323456
"24"	"Control plots"	"Cellvibrionales"	"Siderastrea siderea"	10	0.000456383782564837	0.000594556952775411	0.000188015416945947	0.000425320422160765
"25"	"Hypoxia plots"	"Family_XII"	"Agaricia lamarcki"	13	0.064268239706799	0.116366820825888	0.0322743491731131	0.0703197660475387
"26"	"Hypoxia plots"	"Family_XII"	"Siderastrea siderea"	15	0.053920589937065	0.0896448799796669	0.0231462084822675	0.0496436798285375
"27"	"Hypoxia plots"	"Marinifilaceae"	"Agaricia lamarcki"	13	0.0159115868367506	0.0271252032552002	0.00752317778415439	0.0163915962759831
"28"	"Hypoxia plots"	"Marinifilaceae"	"Siderastrea siderea"	15	0.00898780940630573	0.0137854718873339	0.00355939353595031	0.00763413987296691
"29"	"Hypoxia plots"	"Parvibaculaceae"	"Agaricia lamarcki"	13	1.81473872139885e-05	4.66959550164567e-05	1.29511277052765e-05	2.82180832029151e-05
"30"	"Hypoxia plots"	"Parvibaculaceae"	"Siderastrea siderea"	15	7.96713241607214e-05	0.000151220206683696	3.90448894730665e-05	8.37429591730551e-05
"31"	"Hypoxia plots"	"Pseudomonadaceae"	"Agaricia lamarcki"	13	0.00600174298250434	0.006863440703865	0.00190357595260707	0.0041475357077863
"32"	"Hypoxia plots"	"Pseudomonadaceae"	"Siderastrea siderea"	15	0.00360701325672117	0.0039322766796178	0.00101530947285597	0.00217762224149832
"33"	"Hypoxia plots"	"Marinobacteraceae"	"Agaricia lamarcki"	13	0.00291935118824566	0.00378106579735812	0.00104867896986753	0.00228487519374958
"34"	"Hypoxia plots"	"Marinobacteraceae"	"Siderastrea siderea"	15	0.00207456678895193	0.0029827356136887	0.000770139023863738	0.00165178392622896
"35"	"Hypoxia plots"	"Nitrincolaceae"	"Agaricia lamarcki"	13	0.0266977142251505	0.0137726099429251	0.00381983471893704	0.00832270489282833
"36"	"Hypoxia plots"	"Nitrincolaceae"	"Siderastrea siderea"	15	0.037102220745536	0.0318134195088161	0.008214189596237	0.017617684498042
"37"	"Hypoxia plots"	"Francisellaceae"	"Agaricia lamarcki"	13	0.000999685652505363	0.00099295033369868	0.000275394872472282	0.000600033881367179
"38"	"Hypoxia plots"	"Francisellaceae"	"Siderastrea siderea"	15	0.00200134824065421	0.00212763858049407	0.000549353919266795	0.00117824697299889
"39"	"Hypoxia plots"	"Shewanellaceae"	"Agaricia lamarcki"	13	0.0113361641313664	0.0122393983953154	0.00339459834578011	0.00739619442735285
"40"	"Hypoxia plots"	"Shewanellaceae"	"Siderastrea siderea"	15	0.0118333384518384	0.012563585312139	0.00324390377883804	0.00695748164173809
"41"	"Hypoxia plots"	"Halomonadaceae"	"Agaricia lamarcki"	13	0.00366063278927023	0.00664925533033512	0.00184417161824427	0.00401810478193879
"42"	"Hypoxia plots"	"Halomonadaceae"	"Siderastrea siderea"	15	0.00474667588419576	0.00728419750843648	0.00188077170937734	0.00403385412528493
