	Treatment	PC1	DO
AA-10	Control plots	-22.19155981	5.938506
AA-11	Control plots	-21.32201953	5.938506
AA-12	Control plots	-19.40746074	5.938506
AA-13	Control plots	-20.85073938	5.938506
AA-15	Control plots	-20.13496432	5.938506
AA-16	Control plots	-20.54505766	5.938506
AA-17	Hypoxia plots	-5.695628074	1.214316
AA-18	Hypoxia plots	-10.19465626	1.214316
AA-19	Hypoxia plots	-15.0866387	1.214316
AA-20	Hypoxia plots	-26.15802052	1.214316
AA-21	Hypoxia plots	-14.83833125	1.214316
AA-22	Hypoxia plots	-23.27824352	1.214316
AA-23	Hypoxia plots	-28.6831138	1.214316
AA-24	Control plots	-7.676354066	5.361962
AA-25	Control plots	-15.02643445	5.361962
AA-26	Control plots	-14.4055627	5.361962
AA-27	Control plots	-19.16683479	5.361962
AA-28	Control plots	-11.53045107	5.361962
AA-29	Control plots	5.070706008	5.361962
AA-30	Control plots	-6.591232327	5.361962
AA-31	Hypoxia plots	-4.240855661	0.820329
AA-32	Hypoxia plots	12.80139338	0.820329
AA-33	Hypoxia plots	-5.470037432	0.820329
AA-34	Hypoxia plots	-3.956840086	0.820329
AA-35	Hypoxia plots	5.23826448	0.820329
AA-36	Hypoxia plots	4.304378593	0.820329
AA-37	Hypoxia plots	8.215530137	0.820329
AA-38	Control plots	14.24199047	5.719972
AA-39	Control plots	-10.8409436	5.719972
AA-40	Control plots	-10.58475198	5.719972
AA-41	Control plots	-21.27951082	5.719972
AA-42	Control plots	-21.61912839	5.719972
AA-43	Control plots	-23.94207297	5.719972
AA-52	Hypoxia plots	61.02195888	0.080461
AA-53	Hypoxia plots	80.05806382	0.080461
AA-54	Hypoxia plots	81.45848731	0.080461
AA-55	Hypoxia plots	79.21182605	0.080461
AA-56	Hypoxia plots	58.28384919	0.080461
AA-57	Hypoxia plots	55.60449571	0.080461
AA-58	Hypoxia plots	65.91837966	0.080461
