	PC1	Last Recorded Dissolved Oxygen Measurement (mg/L)
AA-10	-22.19155981	5.938506
AA-11	-21.32201953	5.938506
AA-12	-19.40746074	5.938506
AA-13	-20.85073938	5.938506
AA-15	-20.13496432	5.938506
AA-16	-20.54505766	5.938506
AA-17	-5.695628074	1.214316
AA-18	-10.19465626	1.214316
AA-19	-15.0866387	1.214316
AA-20	-26.15802052	1.214316
AA-21	-14.83833125	1.214316
AA-22	-23.27824352	1.214316
AA-23	-28.6831138	1.214316
AA-24	-7.676354066	5.361962
AA-25	-15.02643445	5.361962
AA-26	-14.4055627	5.361962
AA-27	-19.16683479	5.361962
AA-28	-11.53045107	5.361962
AA-29	5.070706008	5.361962
AA-30	-6.591232327	5.361962
AA-31	-4.240855661	0.820329
AA-32	12.80139338	0.820329
AA-33	-5.470037432	0.820329
AA-34	-3.956840086	0.820329
AA-35	5.23826448	0.820329
AA-36	4.304378593	0.820329
AA-37	8.215530137	0.820329
AA-38	14.24199047	5.719972
AA-39	-10.8409436	5.719972
AA-40	-10.58475198	5.719972
AA-41	-21.27951082	5.719972
AA-42	-21.61912839	5.719972
AA-43	-23.94207297	5.719972
AA-52	61.02195888	0.080461
AA-53	80.05806382	0.080461
AA-54	81.45848731	0.080461
AA-55	79.21182605	0.080461
AA-56	58.28384919	0.080461
AA-57	55.60449571	0.080461
AA-58	65.91837966	0.080461
