""	"input"	"filtered"	"denoised"	"merged"	"tabled"	"nonchim"
"AA-1"	49259	46784	46401	44616	44616	42286
"AA-10"	72996	61308	57569	46017	46017	44526
"AA-11"	69136	61290	58921	52380	52380	51492
"AA-12"	55873	49792	48267	42019	42019	39566
"AA-13"	72852	67268	65919	61536	61536	59880
"AA-15"	124387	109625	107551	98224	98224	95947
"AA-16"	72922	66067	62320	50161	50161	49260
"AA-17"	48825	38615	37620	35805	35805	32885
"AA-18"	23792	17334	16383	14117	14117	14001
"AA-19"	52732	44309	42675	37462	37462	36827
"AA-2"	54452	48979	48129	44430	44430	43803
"AA-20"	82902	75058	73270	66075	66075	63797
"AA-21"	60194	58257	57549	55588	55588	54625
"AA-22"	95296	84794	83776	78699	78699	72902
"AA-23"	109034	100089	98065	89832	89832	85808
"AA-24"	99942	90389	88763	84983	84983	78779
"AA-25"	55382	47479	46155	42306	42306	41772
"AA-26"	43425	31971	30970	28544	28544	27726
"AA-27"	115867	107319	106816	104168	104168	101458
"AA-28"	57511	53162	52755	50967	50967	48624
"AA-29"	98000	90969	88423	76614	76614	74883
"AA-3"	62139	31302	30938	29631	29631	27172
"AA-30"	94755	86225	82006	66554	66554	63809
"AA-31"	26776	24300	23436	21135	21135	20711
"AA-32"	67885	63270	61769	53639	53639	51089
"AA-33"	58167	49733	47606	39398	39398	38101
"AA-34"	94219	86606	83772	72329	72329	70795
"AA-35"	143046	132752	129223	109351	109351	102388
"AA-36"	150572	140474	137510	120741	120741	116364
"AA-37"	87073	80722	78163	66324	66324	64932
"AA-38"	38507	29874	28465	24819	24819	24081
"AA-39"	33881	26598	24865	20755	20755	20531
"AA-4"	64689	59409	58659	55174	55174	53029
"AA-40"	38022	27203	25166	21199	21199	20522
"AA-41"	112253	101635	99206	88036	88036	77340
"AA-42"	75539	68276	66098	58247	58247	56509
"AA-43"	96692	87606	84604	73625	73625	69867
"AA-45"	42692	37628	36115	32826	32826	32250
"AA-46"	67374	59876	56203	45841	45841	44911
"AA-47"	56490	47992	45409	37875	37875	37120
"AA-48"	72691	66583	64391	57451	57451	55474
"AA-49"	108976	99017	96177	84943	84943	81950
"AA-5"	25278	18643	18011	16150	16150	15468
"AA-50"	94783	86302	83942	75114	75114	73546
"AA-51"	54180	47888	44338	35180	35180	34586
"AA-52"	86355	78422	76924	71001	71001	65650
"AA-53"	135465	125645	123840	113376	113376	101813
"AA-54"	116023	111739	110581	102715	102715	86999
"AA-55"	145825	137377	135182	124955	124955	116996
"AA-56"	87590	82505	81004	73564	73564	71747
"AA-57"	104641	98397	96747	89545	89545	86310
"AA-58"	139808	132809	129330	114285	114285	105158
"AA-6"	72892	66585	64113	56615	56615	55109
"AA-7"	23408	14090	13226	11582	11582	11273
"AA-8"	50153	41544	41046	38870	38870	37906
"AA-9"	67689	61507	60554	56514	56514	54460
"BLANK"	28286	25403	25173	23957	23957	22860
